pl,tr,nl,uk
Warzywa,Sebzeler,Groenten,Vegetables
Marchewka,Havuç,Wortel,Carrot
Cebula,Soğan,Ui,Onion
Pietruszka,Maydanoz,Peterselie,Parsley
Ziemniak,Patates,Aardappel,Potato
Pomidor,Domates,Tomaat,Tomato
Cukinia,Kabak,Courgette,Zucchini
Brokuł,Brokoli,Broccoli,Broccoli
Brukselka,Brüksel lahanası,spruitjes,Brussels sprouts
Kapusta,Lahana,Kool,Cabbage
Sałata,Marul,Sla,Lettuce
Ogórek,Salatalık,Komkommer,Cucumber
Rukola,Roka,Rucola,Arugula
Czosnek,Sarımsak,Knoflook,Garlic
Burak,Pancar,Biet,Beet
Dynia,Kabak,Pompoen,Pumpkin
Groch,Bezelye,Erwt,Pea
Fasola,Fasulye,Boon,Bean
Soczewica,Mercimek,Linze,Lentil
Bakłażan,Patlıcan,Aubergine,Eggplant
Koper,Dereotu,Dille,Dill
Kukurydza,mısır,Maïs,Corn
Papryka,Biber,Peper,Pepper
Szparag,Kuşkonmaz,Asperges,Asparagus
Jarmuż,Kale,Boerenkool,Kale
Kalafior,Karnabahar,Bloemkool,Cauliflower
Rzepa,Şalgam,Raap,Turnip
Por,pırasa ,Prei,Leek
Szczypiorek,Yaprak soğanı,bieslook,Chive
Szpinak,ıspanak,spinazie,Spinach
Rzodkiewka,Turp,radijs,Radish